Name,Location,Contact Persons,Affiliation,Source
RoyalJiu-JitsuQuebec,"Quebec,",Michael Roy,,https://smoothcomp.com/en/club/31693
10thPlanetMasury,"847 Brookfield Ave,",Jeff Mock,,https://smoothcomp.com/en/club/32158
PeakJudoClub,"766 Arts Rd, Burnaby, BC V5A 0A9,",Jeremy Le Bris,,https://smoothcomp.com/en/club/39973
SIMSMartialArtsAcademy,"722 Fort Crook Road North, Bellevue,NE, 68005,",Derek Stewart,,https://smoothcomp.com/en/club/42089
RiversideYouthJudoClub,10540 Magnolia Ave #B,Brian Money,,https://smoothcomp.com/en/club/35415
BOABJJMMA,Canada,,,https://smoothcomp.com/en/club/7735
RenzoGracieNH,United States,,,https://smoothcomp.com/en/club/8717
LogicJiuJitsuClub,15711 Pacific ave s,Kaleb Germany,,https://smoothcomp.com/en/club/23121
GracieBarraAvondale,3145 N Dysart Rd,Michael Bruner,,https://smoothcomp.com/en/club/22621
SiriBrazilianJiu-Jitsu,"8 N. Washington St.,",Gustavo Pires,,https://smoothcomp.com/en/club/9026
GracieBarraO'Fallon,"1670 Bryan Rd,",Mike Buckels,,https://smoothcomp.com/en/club/12565
208JiuJitsu/TRUJITSU,"1129 12th Ave Rd,",Sam Campanella,,https://smoothcomp.com/en/club/21131
CarlsonGracieMiami-GhostSquad,United States,,,https://smoothcomp.com/en/club/3905
GracieBarraSanClemente,"225 Calle Pintoresco,",Felipe Guedes,,https://smoothcomp.com/en/club/12449
HurricaneJiuJitsu(Cleveland),"3328 Warren Rd,",DANIEL SWEENEY,,https://smoothcomp.com/en/club/18260
EmbraceMartialArts,"1608 Heritage Commerce Ct,",Kate Walsh,,https://smoothcomp.com/en/club/19364
SatorinoMichidojo,"5412 Madison Ave #100, Sacramento, CA zip 95841 ,",Dmytro Tarasov,,https://smoothcomp.com/en/club/25272
DragonKingBrazilianJiu-Jitsu,United States,,,https://smoothcomp.com/en/club/26020
AtosJiu-Jitsu-RonaldoCandidoAcademy,"22002 Novi Rd,",Ronaldo Candido,,https://smoothcomp.com/en/club/27909
SquadBrazilianJiuJitsu,"13802 Landstar Blvd Unit 108, Orlando, FL 32824,",Manuella Dos Santos,,https://smoothcomp.com/en/club/29718
GlendaleJudoAcademy,1110 Glendale Ave Suite D,Artush Tavatyan,,https://smoothcomp.com/en/club/35250
ChiefPrideJudoClub,"Fort Myers ,",Nicole Rodriguez,,https://smoothcomp.com/en/club/36806
WestlakeJudoClubLLC,"20527 FM-1093 E, Unit A-5,,",Mackenzie Williams,,https://smoothcomp.com/en/club/36847
RilionGracie-MiamiLakes,7337 Miami Lakes dr,Wilson Sgai,,https://smoothcomp.com/en/club/41874
RevelationMartialArts,Canada,John Sawatzky,,https://smoothcomp.com/en/club/6750
Lionsmma,Canada,,,https://smoothcomp.com/en/club/7789
PhoenixMMAandFitness,United States,Raynel Martin,,https://smoothcomp.com/en/club/7873
10thPlanetElPaso,"1491 Lee Trevino Dr,",Cristobal Chavez,,https://smoothcomp.com/en/club/9992
IndioDojo,"393 Vanadium Rd Unit 102 ,",Danillo Villefort,,https://smoothcomp.com/en/club/15220
TigerKangMMA,"975 Bridgeton Pike,",Peter Kang,,https://smoothcomp.com/en/club/15893
TAPWorldClassBrazilianJiu-Jitsu,"1445 Riverchase Blvd Suite 101,",TAP World Class Brazilian JiuJitsu,,https://smoothcomp.com/en/club/29527
WAMMANextGen,"222 St-Mary's Road,",Dominick Blais,,https://smoothcomp.com/en/club/49541
CreightonMMA,United States,Connor Teasley,,https://smoothcomp.com/en/club/8082
KolaAjoseBJJ,"3550 San Pablo Dam Road suite F,",Govanny Duran,,https://smoothcomp.com/en/club/10392
GracieBarraSanAntonio,United States,,,https://smoothcomp.com/en/club/2330
MaracabaBJJ,"2235 S Power RD Ste 109,",Andre Maracaba,,https://smoothcomp.com/en/club/11662
AllianceGreenville,"117 Haywood Rd, Greenville SC 29607,",Drew Foster,,https://smoothcomp.com/en/club/10903
RILIONGRACIEACADEMY-GRACIEELITETEAM,United States,MARIO FUENTES,,https://smoothcomp.com/en/club/5502
VITORSHAOLINBJJ,United States,Krystle Wilson,,https://smoothcomp.com/en/club/5781
RefugeBJJ,"711 E Carefree Hwy Suite 201, Phoenix, AZ 85085,",Josh Guerra,,https://smoothcomp.com/en/club/11599
MMALab,United States,Chris Zubrycki,,https://smoothcomp.com/en/club/11663
TeamBalance,United States,,,https://smoothcomp.com/en/club/21442
GDJiu-JitsuAcademy,"1848 E University Drive, Suite 108, Tempe, AZ, 85281,",Gustavo Dantas,,https://smoothcomp.com/en/club/2316
AbusadoTeam,United States,,,https://smoothcomp.com/en/club/8716
PhoenixJudoClub-Washington,"12611 Northup Way, Suite 300",Gabriel Lucas Laxamana,,https://smoothcomp.com/en/club/44767
PearlCityHongwanjiJudoClub,858 Second Street,Scott Morifuji,,https://smoothcomp.com/en/club/52455
NextEdgeAcademy,"909 E 8th St,",Bruce Hoyer,,https://smoothcomp.com/en/club/4589
AllianceNEBJJ,"23 Middle Grove Rd,",Maddox White,,https://smoothcomp.com/en/club/10751
TeamChitwood,"314 E Main st,",Amy Sesco,,https://smoothcomp.com/en/club/10928
FulcrumJiuJitsuAcademy,"703 Wilcox street,",Evan Barrett,,https://smoothcomp.com/en/club/11193
RenzoGracieColorado,"3657 star ranch rd,",Avi Kashub,,https://smoothcomp.com/en/club/11362
TwinWolvesMMA,"Harker Heights,",,,https://smoothcomp.com/en/club/12698
TheWinchesterJiuJitsuAcademy,"1914 S Loudoun St,",Olivia Schauer,,https://smoothcomp.com/en/club/30735
RoyalJiu-JitsuQuebec,"Quebec,",Michael Roy,,https://smoothcomp.com/en/club/31693
GustavoRodriguesBJJ-TooeleMartialArtsAcademy,"10 Garnet Street, Building 669 #4",Jamie Rydalch,,https://smoothcomp.com/en/club/10650
TwinWolvesMMA,"Harker Heights,",,,https://smoothcomp.com/en/club/12698
RockyMountainBJJ,6419 Bowness Rd NW,Christian Simmerling,,https://smoothcomp.com/en/club/22800
IpponJudo(WashingtonUSA),12828 Pacific Highway SW,Jason Harai,,https://smoothcomp.com/en/club/39883
JishinMartialArts,"1630 Albert St,",Corey Pickering,,https://smoothcomp.com/en/club/42399
GracieBarraKerrisdale,2038 West 41st Ave,Alfred Wan,,https://smoothcomp.com/en/club/50995
101Academy,Canada,Fatima Eltassi,,https://smoothcomp.com/en/club/7715
MillenniaMMA,"8423 Rochester Ave #102,",Millennia MMA,,https://smoothcomp.com/en/club/9200
RenzoGracieMcAllen,"1701 Dove Ave Suite F,",Joshua Sharpless,,https://smoothcomp.com/en/club/9752
RenatoTavaresassociation,"5600 sun pointe drive,",Suraj Budhram,,https://smoothcomp.com/en/club/11057
DethroneMMA,"2456 N Clovis Ave,",Luke Ljuba,,https://smoothcomp.com/en/club/16936
RibeiroJiuJitsu-USA,United States,RICHARD STORELEE,,https://smoothcomp.com/en/club/3959
LincolnBrazilianJiu-Jitsu,"4707 Prescott Ave ,",Jerad Downs,,https://smoothcomp.com/en/club/7128
SBG,United States,Calum Kieran,,https://smoothcomp.com/en/club/8293
TwinWolvesMMA,"Harker Heights,",,,https://smoothcomp.com/en/club/12698
RenzoGracieReno,"6370 Mae Anne Ave. #6,",Max McGarr,,https://smoothcomp.com/en/club/13752
GracieBarraChino,"13751 Roswell Ave #G, Chino, CA 91710,",Rafael Oliveira,,https://smoothcomp.com/en/club/3945
Halojiujitsu,"3980 N. Chestnut #107,",,,https://smoothcomp.com/en/club/9171
GracieBarraHannibal,"210 Huck Finn Shopping Center,",Beau Viehmann,,https://smoothcomp.com/en/club/12038
Alavanca,"209 16 Ave NE,",Ilia Timbaliuc,,https://smoothcomp.com/en/club/15366
GracieBarraDownersGrove(official),"152 Ogden Ave,",I-Yung Hou,,https://smoothcomp.com/en/club/33392
MonsterBrazilianJiuJitsuandMMA,United States,Joe Walsh,,https://smoothcomp.com/en/club/2373
PureMartialArts,Canada,,,https://smoothcomp.com/en/club/7816
SPECTRUMJIUJITSU,"59 Ruland Road,",Raymond Miller,,https://smoothcomp.com/en/club/10618
GracieBarraNewMexico-WestSide,"3200 La Orilla Rd NW Suite D-5,",Filipe Matos,,https://smoothcomp.com/en/club/12341
AscensionMartialArts,"2071 Kingsway Ave,",Claire Brown,,https://smoothcomp.com/en/club/12351
JourneyBrazilianJiuJitsuAcademy,"3179 Muir Field Rd,",Alex Andreev,,https://smoothcomp.com/en/club/14544
BraveMartialArtsInstitute,2161 Thurston Dr,Rodrigo Alves,,https://smoothcomp.com/en/club/22174
FellowshipJiu-JitsuSarasota,"4401 Ashton Rd,",Werther Marciales,,https://smoothcomp.com/en/club/22804
ChantillyMmaAcademy,"4124 Walney Rd,",Suldbayar Damdin,,https://smoothcomp.com/en/club/22892
EastonBJJThornton,13762 Colorado Blvd,JoJo DeJesus,,https://smoothcomp.com/en/club/20365
RDA/TeamBluejitsu,"13762 Potranco Rd Suite 101,",Deana Moreno,,https://smoothcomp.com/en/club/22209
ChantillyMmaAcademy,"4124 Walney Rd,",Suldbayar Damdin,,https://smoothcomp.com/en/club/22892
GracieBarraParker,"18425 Pony Express Dr #107,",Jennifer Steele,,https://smoothcomp.com/en/club/30198
LEAOBJJPANAMA,Panama,,,https://smoothcomp.com/en/club/3718
"NokidoJu-Jitsu,Judo,&BJJ","1050 Innovation Ave #B109,",Chris Ritchie,,https://smoothcomp.com/en/club/12037
OdysseyJiuJitsu,"1530 Carroll Dr NW, Suite 105, Atlanta GA 30318,",Greg Sirico,,https://smoothcomp.com/en/club/18960
TeamJucaoRedRiver,"3800 Monroe Hwy Suite J,",Tobi Konnaris,,https://smoothcomp.com/en/club/25583
CelsiusJiuJitsu,"Plaza Guacima , local #20,",Jonathan Gonzalez,,https://smoothcomp.com/en/club/26772
ExodusJiuJitsu-TeamExodus,United States,Sophia Paulo,,https://smoothcomp.com/en/club/32226
GracieBarraDoral,"9851 nw 58st,",Paulo Castro,,https://smoothcomp.com/en/club/12681
CarlsonGracie,United States,,,https://smoothcomp.com/en/club/3660
GracieBarraAhwatukee,"1304 e Chandler blvd, suite 102,",Luis Freire,,https://smoothcomp.com/en/club/11638
X3sports,"1092 Huff Rd,",Laiylah Sheffield,,https://smoothcomp.com/en/club/11861
EastonTrainingCenter-Littleton,"5005 S Kipling St,",Jordan Shipman,,https://smoothcomp.com/en/club/16630
EastonTrainingCenter-Boulder,"2005 32nd St,",Jordan Shipman,,https://smoothcomp.com/en/club/28686
P3MartialArts,United States,Eric Forschler,,https://smoothcomp.com/en/club/6140
SyndicateMMA/SHAPBrosBJJ,"6315 S Rainbow Blvd,",Jerry Shapiro,,https://smoothcomp.com/en/club/24207
TrevorPrangley'sA.K.A.,"10014 N. Government Way, Hayden Idaho 83835,",Trevor Prangley,,https://smoothcomp.com/en/club/25059
AlphaMiamiGrappling,850 SW 69 AVE,Jonthan Diaz,,https://smoothcomp.com/en/club/47459
TEAMMASTERYFLORIDA,"Lakewood Ranch,",Eduardo Martinez,,https://smoothcomp.com/en/club/23345
AtlasGrappling,"9272 Tamarus St #115,",Damien Nitkin,,https://smoothcomp.com/en/club/24344
CarlsonGracieInlandValley,32326 Clinton Keith Rd #102,Tim Rennick,,https://smoothcomp.com/en/club/31600
ElMonteJiujitsu,"10904 Main Street,",Isabella Pineda,,https://smoothcomp.com/en/club/41315
LEAOBJJPANAMA,Panama,,,https://smoothcomp.com/en/club/3718
GRACIETAMPASOUTH,United States,Matthew Arroyo,,https://smoothcomp.com/en/club/5495
FernandoYamasaki,"12712 rock creek mill rd suite 6A/7A,",Steven Sotovando,,https://smoothcomp.com/en/club/5510
GracieBarraTacoma,"31 Montana Ave,",Josh Calvo,,https://smoothcomp.com/en/club/9595
BigBrothers,"12608 Darby Brook Court ,",Christian Banghart,,https://smoothcomp.com/en/club/9663
DoubleFiveArizona,"16572 W Greenway Rd, Ste 307",Ismael Aoki,,https://smoothcomp.com/en/club/11626
EvolutionBJJ-ImpakBeloeil,"347 Duvernay,",Eliane Landry,,https://smoothcomp.com/en/club/37382
PSFOcala,"5520 NE 2nd Ln,",Jeremy Burd,,https://smoothcomp.com/en/club/39544
SektorJiu-Jitsu,United States,Sean Roberts,,https://smoothcomp.com/en/club/39684
NorthSoundJudoClub,9015 Vernon Rd.,Sean Coffman,,https://smoothcomp.com/en/club/41035
RyobuakaiPanamá,Av. 12 de Octubre con Vía España,Alexis Garcia,,https://smoothcomp.com/en/club/50946
HayastanMMAAcademy,"11044 Burbank Bl,",,,https://smoothcomp.com/en/club/2337
RenzoGracieCostaRica,"WX6P+GM3,",Daniel Campos,,https://smoothcomp.com/en/club/3721
CARLSONGRACIETEAM-CT/CESARPEREIRABJJ,United States,DAVID RODRIGUEZ,,https://smoothcomp.com/en/club/5803
KAITENMIXEDMARITALARTS,"185 Dominion St. ,",TYSON Hill,,https://smoothcomp.com/en/club/10091
MomentumBrazilianJiuJitsu,"253 Franklin Avenue ,",Artur Landkof,,https://smoothcomp.com/en/club/13370
GRACIESPORTSUSA,United States,JULIO REYES,,https://smoothcomp.com/en/club/6262
RollJiuJitsuAcademy,286 Pemberton Ave,Filip Matos,,https://smoothcomp.com/en/club/7824
BullyMeNowMMA,"3780 s nova rd,",Cait Ezeir,,https://smoothcomp.com/en/club/13438
TheEyrieBJJ,"918 W Irvington Rd,",Phillip Aguilar,,https://smoothcomp.com/en/club/11683
Ares/NavaBJJ,United States,Paul Nava,,https://smoothcomp.com/en/club/2377
FABIONOVAESBJJ,United States,Lucas Gabriel Gonzalez,,https://smoothcomp.com/en/club/5489
TeamCurran,United States,Dan LaPaz,,https://smoothcomp.com/en/club/3638
EvolutionGrapplingAcademy,United States,Mike Palladino,,https://smoothcomp.com/en/club/10198
FightSportsMiami,"339 NE 61st,",,,https://smoothcomp.com/en/club/11555
WarriorAcademyBrazilianJiuJitsu,130 Prominence Point Parkway Suite 160,Rachel Clark,,https://smoothcomp.com/en/club/24246
GracieBarraNorthPhoenix,"1 E Deer Valley Rd Suite 208,",Flavio Almeida,,https://smoothcomp.com/en/club/11646
XtremeCoutureToronto,"700 Kipling ave,",Paul McGrath,,https://smoothcomp.com/en/club/15287
PRIMEBJJ,"1410 Kelly Johnson Blvd,",Quentin Scanga,,https://smoothcomp.com/en/club/19529
IJCMartialArts,28-20 120th St,Edward Jeong,,https://smoothcomp.com/en/club/32954
CJJudo,"1244 S. Bascom Ave.,",Chuck Jefferson,,https://smoothcomp.com/en/club/35332
LabyrinthBJJ,"6615 W Cross Creek Bend Ln #400,",ANTHONY CURRY,,https://smoothcomp.com/en/club/36415
TeamWarrior,Norte 2 #295 ESQ,JORGE RODRÍGUEZ,,https://smoothcomp.com/en/club/39837
KDMMA,"555 Riverdale Dr #C,",Karen Darabedyan,,https://smoothcomp.com/en/club/39922
ValiantJiu-JitsuAcademyLLC,"7352 N Government Way Dalton Gardens ID 83815 Suites F and G,",Josiah Paul,,https://smoothcomp.com/en/club/43329
ShudokanJudoClub,P.O. Box 4324,Michael Hayashi,,https://smoothcomp.com/en/club/51255
SherbatovGyms,"2571 boul. Chomedey,",Boris Sherbatov,,https://smoothcomp.com/en/club/15235
KrakenBJJ,"3920 N Academy Blvd,",Tyler Larsen,,https://smoothcomp.com/en/club/15318
TeamKalista,"Calle Gri Gri,",,,https://smoothcomp.com/en/club/23910
SatorinoMichidojo,"5412 Madison Ave #100, Sacramento, CA zip 95841 ,",Dmytro Tarasov,,https://smoothcomp.com/en/club/25272
SquadBrazilianJiuJitsu,"13802 Landstar Blvd Unit 108, Orlando, FL 32824,",Manuella Dos Santos,,https://smoothcomp.com/en/club/29718
JudoClub“Taifu”Toronto,600 Bowes Rd.Unit 21,TAIFU JUDO CLUB TORONTO,,https://smoothcomp.com/en/club/35049
NextMoveJiuJitsu,"3301 Southern Blvd SE Suite 501 Rio Rancho NM, 87144,",Jason Howells,,https://smoothcomp.com/en/club/40257
SpartanAcademy/SASTeam,"3510 Bush River Rd.,",,,https://smoothcomp.com/en/club/42588
CombatClubJacksonville,925 N Marine Blvd.,,,https://smoothcomp.com/en/club/49637
BrazilianTopTeamSchaumburgIL,"455 E State Pkwy #103, Schaumburg, IL",Euclides O. Barboza Junior,,https://smoothcomp.com/en/club/50659
Academyofcombatarts,United States,Alexander Messmer,,https://smoothcomp.com/en/club/6907
GracieBarraScottsdale,"16033 N 77th St,",Victor Emanuel,,https://smoothcomp.com/en/club/11650
KomainuYemasoBJJ,"3865 Mira Loma Dr suite 104,",Jerel Hallert,,https://smoothcomp.com/en/club/24812
GracieBarraEncinitas,"613 Westlake st.,",Matt Smith,,https://smoothcomp.com/en/club/9148
GracieBarraLibertyville,"13960 W. Rockland Rd,",Connor Duvall,,https://smoothcomp.com/en/club/14446
N/A,United States,,,https://smoothcomp.com/en/club/7107
VillsBrosBJJ,"3920 w Ann road Suite 110,",THOMAS LISA,,https://smoothcomp.com/en/club/10726
IndioDojo,"393 Vanadium Rd Unit 102 ,",Danillo Villefort,,https://smoothcomp.com/en/club/15220
AZCombatSports,"525 s McClintock dr 85282,",Steven Rosenberg,,https://smoothcomp.com/en/club/11611
BramptonBrazilianJiu-JitsuAcademy,"1295 Williams Parkway, L6S 3J8,",Andrew McColl,,https://smoothcomp.com/en/club/41065
ArtofJiuJitsuAcademy,United States,Isaih Francesco Calderon,,https://smoothcomp.com/en/club/3544
SOCABRAZILIANJIUJITSU,"1913 Wantagh Ave,",Samantha Freitas,,https://smoothcomp.com/en/club/5785
TBJJA,"5228A Main St. Spring Hill TN,",Angelina De Luca,,https://smoothcomp.com/en/club/6335
PacificTopTeamKamloops,Canada,,,https://smoothcomp.com/en/club/7805
John'sGymGeorgetown,"3301 Shell Rd,",John Ramseier,,https://smoothcomp.com/en/club/9834
InochiAllianceofMixedMartialArts,"4800 N Hwy 281,",Paul Haben,,https://smoothcomp.com/en/club/10173
RoundTableBJJ,"120 South Antrim Way Greencastle Pa 17225,",Brad Souders,,https://smoothcomp.com/en/club/11095
HubCityJiuJitsu,"13021 Asheville Hwy,",Matthew Legg,,https://smoothcomp.com/en/club/11192
ATTBAGA,"Davie/Weston,",Jem'ion Antoine,,https://smoothcomp.com/en/club/11205
PalmBeachGardensMartialArts(PBGMA),"802 10th St,",Natasha Almeida,,https://smoothcomp.com/en/club/11537
BlackHoleJiu-Jitsu,United States,CHARLES MACGOWAN IV,,https://smoothcomp.com/en/club/2139
SouthsideBrazilianJiu-Jitsu,2303 Kennedy St NE,Bryce Murphy,,https://smoothcomp.com/en/club/6429
ToshidoMMA,"#3-360 Spedding Court, Kelowna, BC, ,",Keith Sabey,,https://smoothcomp.com/en/club/7837
CopperheadJiuJitsu,"253 South Main St.,",Gorge Martinez,,https://smoothcomp.com/en/club/10391
TeamChitwood,"314 E Main st,",Amy Sesco,,https://smoothcomp.com/en/club/10928
GracieBarraAhwatukee,"1304 e Chandler blvd, suite 102,",Luis Freire,,https://smoothcomp.com/en/club/11638
RuFFhouseMMA,"518 N. Grant Ave ,",Tryann Stevenson,,https://smoothcomp.com/en/club/11761
RioProBJJ,"12414 Emery Ave,",Tobiaus Taylor,,https://smoothcomp.com/en/club/11863
KikoFranceBJJ,"8011 E Roosevelt St,",Maria France,,https://smoothcomp.com/en/club/11916
RenzoGracieUtah,"860 W 300 N,",Erin White,,https://smoothcomp.com/en/club/12708
GracieBarraPeoria,"20799 N 83rd Ave,",Daniel Mehrkar-ASL,,https://smoothcomp.com/en/club/11647
EastsideDojo,"2655 Premier Dr. , Plano, TX 75075,",Joshua Perry,,https://smoothcomp.com/en/club/9737
GracieBarraSimiValley,"2964 Cochran Street,",Gracie Barra Simi Valley,,https://smoothcomp.com/en/club/14716
Grindhouse,"712 Carbon Street Billings, Mt,",William Grundhauser,,https://smoothcomp.com/en/club/6825
TeamLloydIrvin,"6333 Old Branch Ave Ste. 302,",Donald Achnick,,https://smoothcomp.com/en/club/10380
BVMMA,United States,Bubba Bush,,https://smoothcomp.com/en/club/3447
10thPlanetSanDiego,"6008 Mission Gorge Road Suite B,",Harold Van Arsdale,,https://smoothcomp.com/en/club/9064
TriadMartialArts,"1708 tallyho street Cullman Al 35055,",Ethan Mcclellan,,https://smoothcomp.com/en/club/13436
BJJOlympia,"1202 Black Lake Blvd SW STE E,",Robert Owens,,https://smoothcomp.com/en/club/6361
CiesMMA,"2360 Montebello Sq Ste C Colorado Springs 80918,",Barb Ciesnolevicz,,https://smoothcomp.com/en/club/11103
BorderMartialArtsAcademy,4644 Merchants Park Circle Suite 900,Mohammad Ihmoud,,https://smoothcomp.com/en/club/11954
DarkHorse,"950 Elgin Ave Unit A, 80501,",James Borders,,https://smoothcomp.com/en/club/12619
DenverJudo,"719 Mariposa St,",Heidi Moore,,https://smoothcomp.com/en/club/13183
NoIllusionsMartialArts,"323 6th St,",Cary Bingham,,https://smoothcomp.com/en/club/14471
KalsamritMartialArts,"182 Wellington St,",Kevin Kireluk,,https://smoothcomp.com/en/club/15293
HNLJIUJITSU,7192 Kalanianaole Hwy,Kayle Quinn,,https://smoothcomp.com/en/club/17128
AresBJJGoodyear,"500 N Bullard Ave, Suite 31,",Osvaldo Moizinho,,https://smoothcomp.com/en/club/18746
ArnoldBrazilianJiuJitsu,United States,,,https://smoothcomp.com/en/club/21050
CambridgeBJJ,"55 Raglin Place,",Daniel Krause,,https://smoothcomp.com/en/club/21586
Checkmat-JMModernJiuJitsu,"14141 Airline Hwy,",Josh Mancuso,,https://smoothcomp.com/en/club/21783
NorthBroadwayJiuJitsu,United States,,,https://smoothcomp.com/en/club/13849
BehringBrazilianJiuJitsu,"Road 176,",Manuel Rey,,https://smoothcomp.com/en/club/14690
10thplanetAtlanta,"Atlanta ,",,,https://smoothcomp.com/en/club/18537
TeamJucaoWalker,"9360 Florida Boulevard,",Brittney Hebert,,https://smoothcomp.com/en/club/25579
EliteTeamInternational,"760 E Center Ave,",Tom Knox,,https://smoothcomp.com/en/club/26686
SantosBrothersBJJ,"2486 Dufferin St, York, ON M6B3R1,",Jayden Raposo,,https://smoothcomp.com/en/club/29632
JudoMovement,"420 Commerce Ln,",Kameron Teel,,https://smoothcomp.com/en/club/29639
JeysenSantiagobjj,"2049 E Washington St #2D Colton, California,",Jeysen Santiago,,https://smoothcomp.com/en/club/33145
GracieBarraCaldwell,708 Main St. Suite 101,Tanya White,,https://smoothcomp.com/en/club/39902
"YawaraForceJudo,SamboClub","1040 Mill Creek Dr, Feasterville-Trevose, PA 19053,",Mikhail Kozitskiy,,https://smoothcomp.com/en/club/48618
CatalystJiu-Jitsu,"1111 Diamond Valley Dr. #102,",Jennifer Kornfield,,https://smoothcomp.com/en/club/11320
EthosMartialArtsAZ,"18540 E. San Tan Blvd., Queen Creek, AZ 85142,",,,https://smoothcomp.com/en/club/11743
MarceloAlonsoBJJ,United States,Jacob Boysen,,https://smoothcomp.com/en/club/2695
GracieBarraFranklin,4115 Mallory Lane,Brian Cooley,,https://smoothcomp.com/en/club/6310
SBGKalispell,United States,Cody Bessette,,https://smoothcomp.com/en/club/6749
GracieBarraAlabama,"200 Bowling Ln,",Kaliffa Oliveira,,https://smoothcomp.com/en/club/6314
GracieBarraOceanside,"3772 Mission Ave. Suite 120,",Doug Holcomb,,https://smoothcomp.com/en/club/20542
GracieBarraTacoma,"31 Montana Ave,",Josh Calvo,,https://smoothcomp.com/en/club/9595
IslandJiuJitsu,"2600 S King St ,",Justin Puerto,,https://smoothcomp.com/en/club/17100
10thPlanetTucson,"4765 E Speedway Blvd,",Mercedes White,,https://smoothcomp.com/en/club/12255
AllianceSt.Croix,"2801 Harvey St,",Camble Olson,,https://smoothcomp.com/en/club/24981
JeffersonCityJudoClub,"1301 Creek Trail Dr,",Joshua Lehmen,,https://smoothcomp.com/en/club/27133
SilverfoxJiu-JitsuHawaii(Wahiawa),"1670 Wilikina Dr,",Garry Nakamura,,https://smoothcomp.com/en/club/29491
TriCitiesJiuJitsuClub,"137 Pickwick Ave,",Barry Walton,,https://smoothcomp.com/en/club/36545
LEAOBJJCHIRIQUI,"David, Chiriquí,",,,https://smoothcomp.com/en/club/43985
HIGradejiujitsu,"73-4157 Hulikoa Dr, Kailua-Kona, HI 96740,",Logan Welsh,,https://smoothcomp.com/en/club/50944
VictoryMMA,United States,William Sepanski,,https://smoothcomp.com/en/club/6158
YorkdaleMartialArtsAcademy,"62 Clarkson Ave,",Marco Costa,,https://smoothcomp.com/en/club/6243
ApexMartialArts,"13571 Verdun Place,",Marcy Hilario,,https://smoothcomp.com/en/club/7723
ToshidoMMA,"#3-360 Spedding Court, Kelowna, BC, ,",Keith Sabey,,https://smoothcomp.com/en/club/7837
ShudokanJudoClub,P.O. Box 4324,Michael Hayashi,,https://smoothcomp.com/en/club/51255
SylvioBehringUSA,United States,Sam Brown,,https://smoothcomp.com/en/club/2453
GracieBarraLaval,Canada,,,https://smoothcomp.com/en/club/9925
HighNoonBJJTeam,"85 S Bragg St, Suite 202, Alexandria, VA 22312,",TIMOTHY DAWSON,,https://smoothcomp.com/en/club/10445
ParkCityJiuJitsu,6430 N Business Loop Road Unit D,Mike Diaz,,https://smoothcomp.com/en/club/11917
BurgessAcademyofBJJandMMA,"9 Old Falls Road,",Nathan LaMotte,,https://smoothcomp.com/en/club/14633
AbsoluteJiu-Jitsu,"107 Cox Street,",Cory Simpson,,https://smoothcomp.com/en/club/15261
AscendantMartialArts,"1171 Winnipeg St,",Sean Quinn,,https://smoothcomp.com/en/club/22247
FighttoWinSpartanburg,"848 gossett rd Spartanburg sc,",Ben Holder,,https://smoothcomp.com/en/club/24551
MAKHUWABJJ,"5840 Co Rd 387, Stephenville, TX 76401,",Blessed Matai,,https://smoothcomp.com/en/club/24581
KSJJ-FluxMMA,"6656 Fair Oaks Dr,",Kyle Short,,https://smoothcomp.com/en/club/13808
GracieBarraBocaRaton,"1906 Clint Moore,",Sergio Costa,,https://smoothcomp.com/en/club/14510
GracieBarraWestchase,United States,Kendall Bowe,,https://smoothcomp.com/en/club/3459
ModernJiu-Jitsu,2201 Nolana Avenue,Erin Teskey,,https://smoothcomp.com/en/club/17280
NoClub/Unaffiliated,"357 46th street ,",Eddie Garcia,,https://smoothcomp.com/en/club/36573
10thPlanetMichigan,"12924 Farmington Rd ,",Adlai Cleveland,,https://smoothcomp.com/en/club/12861
AcesJiuJitsuClub,"1700 Grand Ave Pkwy,",MIKAL ABDULLAH,,https://smoothcomp.com/en/club/13500
TheAcademyMN,"6840 Shingle Creek Pkwy,",Andy Grahn,,https://smoothcomp.com/en/club/6726
MontanaMixedMartialArts,"2010 N 7th,",Bryan Deats,,https://smoothcomp.com/en/club/6828
MemphisJudoandJiu-Jitsu,"7859 U S 64, Ste 102, Memphis, TN 38133,",Kayla Wienbeck,,https://smoothcomp.com/en/club/7870
TeamQuietStorm,United States,Porfirio WOLVERINE Matos,,https://smoothcomp.com/en/club/8514
BrazilianTopTeam-SanAntonio,United States,Chris Matthews,,https://smoothcomp.com/en/club/9990
10thPlanetElPaso,"1491 Lee Trevino Dr,",Cristobal Chavez,,https://smoothcomp.com/en/club/9992
Area502MMACarlsonGracieJr.Team,"1423 Hugh Ave,",Nathan Pierce,,https://smoothcomp.com/en/club/12597
CacheValleyMartialArtsandFitness,"953w 700n suite #107,",Koffi Adzitso,,https://smoothcomp.com/en/club/12878
BlackLabelJiu-Jitsu,"1850 Wallace School Rd,",Sarah Gomez,,https://smoothcomp.com/en/club/13717
BJJCoachMarcelloC.Monteiro,United States,,,https://smoothcomp.com/en/club/13844
Neanderthalfightcompany,"2602 fort worth hwy,",Monty Edwards,,https://smoothcomp.com/en/club/14530
410AcademyofMartialArts,"2020 Windsor Dr. Suite A1,",Jack Shellenberger,,https://smoothcomp.com/en/club/16353
